bathrooms,bedrooms,num_beds,can_instant_book,is_fully_refundable,is_superhost,is_new_listing,room_type_category,person_capacity,lat,lng,price,url,listing_key,price_in_usd
1.0,1.0,1,True,True,True,False,entire_home,3,21.15894,-86.84039,30,https://www.airbnb.com/rooms/21936652,21936652,22.55639097744361
1.0,1.0,2,True,True,False,False,entire_home,4,21.184929,-86.814926,21,https://www.airbnb.com/rooms/24752474,24752474,15.789473684210526
1.0,1.0,1,True,True,False,False,private_room,2,21.1296,-86.76201999999998,28,https://www.airbnb.com/rooms/17136468,17136468,21.052631578947366
1.0,1.0,1,True,True,False,False,entire_home,2,21.1593,-86.82851,28,https://www.airbnb.com/rooms/23078503,23078503,21.052631578947366
1.0,0.0,1,True,True,False,False,entire_home,2,21.160444,-86.843513,21,https://www.airbnb.com/rooms/20137349,20137349,15.789473684210526
1.5,1.0,1,False,True,True,False,private_room,2,21.153372,-86.823647,32,https://www.airbnb.com/rooms/20988313,20988313,24.06015037593985
1.0,1.0,1,True,True,True,False,private_room,2,21.15705,-86.85005,24,https://www.airbnb.com/rooms/21752410,21752410,18.045112781954888
1.0,1.0,2,True,True,False,False,entire_home,3,21.16147,-86.83464000000002,21,https://www.airbnb.com/rooms/33228966,33228966,15.789473684210526
1.0,1.0,1,True,True,True,False,private_room,2,21.13817,-86.77,30,https://www.airbnb.com/rooms/31196720,31196720,22.55639097744361
1.0,1.0,2,True,True,False,False,private_room,4,21.12952,-86.76268,30,https://www.airbnb.com/rooms/17140206,17140206,22.55639097744361
1.0,1.0,1,True,True,True,False,entire_home,2,21.16494,-86.82795,21,https://www.airbnb.com/rooms/28301863,28301863,15.789473684210526
1.0,1.0,1,True,True,False,False,entire_home,2,21.182123,-86.813477,28,https://www.airbnb.com/rooms/23308842,23308842,21.052631578947366
1.0,1.0,2,False,True,False,False,private_room,3,21.16588,-86.82081,24,https://www.airbnb.com/rooms/409359,409359,18.045112781954888
1.0,1.0,1,True,True,True,False,entire_home,2,21.150856,-86.822884,30,https://www.airbnb.com/rooms/10013056,10013056,22.55639097744361
1.0,1.0,1,True,True,True,False,entire_home,2,21.165699,-86.828484,25,https://www.airbnb.com/rooms/27902057,27902057,18.796992481203006
1.0,1.0,1,True,True,True,False,private_room,2,21.162701,-86.833084,24,https://www.airbnb.com/rooms/16425675,16425675,18.045112781954888
1.0,0.0,1,True,True,True,False,entire_home,2,21.16216,-86.83258000000002,22,https://www.airbnb.com/rooms/24377818,24377818,16.541353383458645
1.0,1.0,1,False,True,True,False,private_room,2,21.1546,-86.8294,28,https://www.airbnb.com/rooms/18549132,18549132,21.052631578947366
1.0,0.0,1,True,True,False,False,entire_home,2,21.160015,-86.843544,21,https://www.airbnb.com/rooms/19858708,19858708,15.789473684210526
2.0,1.0,1,True,True,True,False,private_room,2,21.13984,-86.83906,24,https://www.airbnb.com/rooms/9965590,9965590,18.045112781954888
4.0,1.0,1,True,True,False,False,shared_room,10,21.13207,-86.75012,28,https://www.airbnb.com/rooms/13724596,13724596,21.052631578947366
1.0,2.0,2,True,True,True,False,entire_home,4,21.16296,-86.83357,26,https://www.airbnb.com/rooms/2331981,2331981,19.548872180451127
1.5,1.0,2,True,True,False,False,private_room,2,21.12939,-86.76238000000002,29,https://www.airbnb.com/rooms/14237592,14237592,21.804511278195488
1.0,1.0,1,True,True,False,False,entire_home,2,21.15176,-86.825867,24,https://www.airbnb.com/rooms/1831174,1831174,18.045112781954888
1.0,1.0,1,True,True,False,False,entire_home,2,21.182167,-86.8134,28,https://www.airbnb.com/rooms/24555306,24555306,21.052631578947366
1.0,0.0,1,True,True,False,False,private_room,2,21.15337,-86.82845,21,https://www.airbnb.com/rooms/33117928,33117928,15.789473684210526
1.0,1.0,1,True,True,True,False,private_room,2,21.11482,-86.87575,22,https://www.airbnb.com/rooms/23837701,23837701,16.541353383458645
1.0,1.0,2,True,True,False,False,entire_home,3,21.15912,-86.83283,30,https://www.airbnb.com/rooms/17159245,17159245,22.55639097744361
1.0,1.0,1,True,True,False,False,entire_home,2,21.138494,-86.842247,22,https://www.airbnb.com/rooms/9156189,9156189,16.541353383458645
1.5,1.0,1,True,True,False,False,private_room,2,21.130659,-86.762589,22,https://www.airbnb.com/rooms/18182401,18182401,16.541353383458645
1.0,1.0,1,True,True,False,False,entire_home,2,21.16338,-86.82609000000002,24,https://www.airbnb.com/rooms/31223434,31223434,18.045112781954888
1.0,1.0,1,True,True,False,False,entire_home,2,21.16696,-86.85144,28,https://www.airbnb.com/rooms/7236402,7236402,21.052631578947366
1.5,1.0,2,True,True,False,False,private_room,2,21.13133,-86.76377,29,https://www.airbnb.com/rooms/14231127,14231127,21.804511278195488
1.0,1.0,1,False,True,True,False,entire_home,2,21.136248,-86.845352,28,https://www.airbnb.com/rooms/22431657,22431657,21.052631578947366
1.0,1.0,1,True,True,False,False,entire_home,3,21.14488,-86.8456,25,https://www.airbnb.com/rooms/19985954,19985954,18.796992481203006
1.0,2.0,0,True,True,True,False,entire_home,2,21.1613,-86.83913000000003,32,https://www.airbnb.com/rooms/30578135,30578135,24.06015037593985
1.0,1.0,2,False,True,True,False,private_room,3,21.083593,-86.848,28,https://www.airbnb.com/rooms/22845476,22845476,21.052631578947366
1.0,1.0,2,True,True,True,False,private_room,2,21.192888,-86.807411,28,https://www.airbnb.com/rooms/23726305,23726305,21.052631578947366
1.0,1.0,1,True,True,True,False,private_room,2,21.15118,-86.822891,21,https://www.airbnb.com/rooms/13856179,13856179,15.789473684210526
1.0,1.0,1,True,True,False,False,entire_home,2,21.138832,-86.840797,22,https://www.airbnb.com/rooms/12855877,12855877,16.541353383458645
1.0,1.0,1,True,True,False,False,private_room,2,21.182337,-86.813873,21,https://www.airbnb.com/rooms/24760436,24760436,15.789473684210526
1.0,1.0,1,True,True,True,False,entire_home,3,21.15119,-86.82472,32,https://www.airbnb.com/rooms/33742962,33742962,24.06015037593985
1.0,1.0,1,True,True,True,False,entire_home,2,21.139803,-86.8843,22,https://www.airbnb.com/rooms/18754474,18754474,16.541353383458645
1.0,1.0,1,False,True,True,False,private_room,2,21.15287,-86.82113000000003,32,https://www.airbnb.com/rooms/26412295,26412295,24.06015037593985
1.0,1.0,2,True,True,True,False,private_room,3,21.15934,-86.83181,24,https://www.airbnb.com/rooms/30552489,30552489,18.045112781954888
1.0,1.0,1,True,True,False,False,entire_home,3,21.137934,-86.841774,28,https://www.airbnb.com/rooms/10156181,10156181,21.052631578947366
1.0,1.0,1,True,True,True,False,entire_home,3,21.153021,-86.826065,26,https://www.airbnb.com/rooms/24469322,24469322,19.548872180451127
1.0,1.0,1,True,True,False,False,shared_room,10,21.07855,-86.85285,21,https://www.airbnb.com/rooms/20014075,20014075,15.789473684210526
1.0,1.0,1,True,True,False,False,private_room,2,21.14605,-86.82587,24,https://www.airbnb.com/rooms/33019622,33019622,18.045112781954888
1.5,1.0,1,True,True,True,False,private_room,2,21.13766,-86.85175,21,https://www.airbnb.com/rooms/15343470,15343470,15.789473684210526
1.0,2.0,2,False,True,True,False,entire_home,4,21.14751,-86.93456,22,https://www.airbnb.com/rooms/30144862,30144862,16.541353383458645
1.0,1.0,1,True,True,False,False,private_room,2,21.15976,-86.82519,28,https://www.airbnb.com/rooms/28188900,28188900,21.052631578947366
1.0,1.0,1,True,True,False,False,private_room,2,21.14714,-86.83736,22,https://www.airbnb.com/rooms/11562501,11562501,16.541353383458645
1.0,1.0,1,True,True,False,False,entire_home,2,21.13669,-86.84969,30,https://www.airbnb.com/rooms/22505317,22505317,22.55639097744361
1.0,1.0,1,True,True,False,False,private_room,2,21.14598,-86.84702,22,https://www.airbnb.com/rooms/14822453,14822453,16.541353383458645
