bathrooms,bedrooms,num_beds,can_instant_book,price,listing_id
1,1,1,FALSE,29,31046115
1,1,1,TRUE,32,19080641
1,1,2,FALSE,21,18736543
2,2,1,TRUE,21,31264238
1,1,2,TRUE,22,12847061
1,1,1,TRUE,24,29823345
1,1,1,TRUE,24,26533933
1,1,2,TRUE,21,26432518
1,1,1,TRUE,25,23360141
1,2,3,TRUE,21,21484660
1,1,1,TRUE,29,32523385
1,1,1,TRUE,26,35976040
1,1,1,TRUE,22,25185112
1,1,1,TRUE,28,26851189
1,1,1,TRUE,26,35516601
1,1,3,TRUE,24,17974243
1,1,1,TRUE,26,30701886
2,2,1,FALSE,24,24825808
1,2,2,TRUE,26,34629864
1.5,1,2,TRUE,21,16381397
1,1,1,TRUE,26,29592005
1,1,1,TRUE,30,27523332
2,2,3,TRUE,30,4387161
1,1,1,TRUE,28,18390571
1.5,1,2,FALSE,26,11581060
1,1,1,TRUE,24,35680565
2.5,2,2,TRUE,28,29134451
1,1,2,TRUE,21,16692987
1,1,1,TRUE,24,27696725
1,1,1,TRUE,25,34280256
2.5,2,2,TRUE,25,33915154
1,1,1,TRUE,24,26643066
1,1,1,TRUE,28,24555771
1,1,2,TRUE,26,21393912
1,1,1,TRUE,29,24603814
1,1,1,TRUE,30,29433945
1.5,2,2,TRUE,26,196043
1,1,1,TRUE,21,32411364
1,1,1,TRUE,28,32672102
1,1,1,FALSE,24,24938206
1.5,1,1,TRUE,32,22566836
1,0,1,FALSE,28,28388649
1,2,4,TRUE,28,22145527
1,1,1,TRUE,26,35515425
1,1,1,TRUE,25,25846367
1,1,1,TRUE,24,35902567
1,0,1,TRUE,21,31218383
1,1,2,FALSE,24,19297263
1,1,1,TRUE,29,21575249
2,4,6,TRUE,21,20450978
1,2,3,TRUE,26,21935156
1,1,1,TRUE,24,12846687
1,1,1,TRUE,21,20815105
1.5,1,1,TRUE,24,29339067
1,1,1,TRUE,21,22846621
1,1,1,TRUE,22,17974993
1,1,1,TRUE,22,21814438
1,2,3,TRUE,24,19752712
1,2,2,TRUE,29,29740552
1.5,1,1,TRUE,24,29260231
2,4,6,TRUE,24,311920
1,1,1,TRUE,26,20494133
1,1,1,TRUE,22,29818639
1,1,1,TRUE,21,28280738
1,1,1,TRUE,26,21217493
1.5,2,2,TRUE,28,26200950
1,1,1,TRUE,24,25920420
1,1,1,TRUE,30,35480669
1,1,1,FALSE,30,13934377
1,1,2,TRUE,32,19945496
1,1,1,TRUE,22,27288818
1,1,1,TRUE,25,30552678
1,1,2,TRUE,21,26427316
1,1,1,TRUE,28,23166940
1,1,1,FALSE,29,22409851
1,1,2,TRUE,25,32477971
1,1,1,TRUE,21,17154808
1.5,1,2,TRUE,25,21949149
1,1,2,TRUE,26,23724367
1.5,1,1,TRUE,21,15343759
1,1,3,TRUE,25,24428604
1,1,1,FALSE,24,23750582
1,1,1,TRUE,24,13937617
1,1,1,TRUE,24,6938380
1,1,1,TRUE,24,32499240
1,1,1,TRUE,21,23959256
1,1,1,TRUE,32,34395491
1,1,1,TRUE,25,24306846
1,1,1,TRUE,28,14684770
1,1,1,FALSE,29,31045741
1,1,2,TRUE,25,30226464
1,0,1,TRUE,21,24337817
1,1,1,TRUE,26,26082960
1,1,1,TRUE,21,21411848
1,1,1,TRUE,22,30315932
2,1,2,TRUE,24,10650264
1,1,1,TRUE,21,24761114
1,1,2,TRUE,24,13800564
1,2,5,TRUE,25,18684880
1,2,2,TRUE,25,16881092
1,1,2,TRUE,21,33617703
1,1,1,TRUE,28,24555947
1,1,2,FALSE,29,30887774
1,1,1,TRUE,29,30008840
1.5,1,1,FALSE,22,24036805
1,0,1,TRUE,22,27027137
1,1,2,TRUE,26,5134642
1,0,1,TRUE,24,32299493
1,1,1,TRUE,29,22421210
1,1,1,TRUE,22,29509364
1,1,1,TRUE,24,21457212
1,1,1,TRUE,25,8831778
1,1,1,TRUE,22,32243622
1,1,1,TRUE,25,32086399
1,1,1,TRUE,30,24555492
2,1,1,TRUE,24,9326209
1,1,0,TRUE,26,21859853
1,2,1,TRUE,28,23275409
1,1,1,TRUE,22,82460
1,1,1,TRUE,26,16660816
1,1,1,TRUE,24,23295246
1,1,3,TRUE,29,85056
1,1,1,TRUE,37,1897970
1,1,1,FALSE,40,21539696
1,1,2,TRUE,41,6467158
3.5,1,1,TRUE,33,26750894
1,1,1,TRUE,36,33114955
1,1,1,TRUE,33,5371125
1,1,1,FALSE,38,17957314
1,2,3,TRUE,33,11607245
1,1,2,TRUE,41,20071413
1,1,1,TRUE,37,14898654
1,1,1,TRUE,40,17109969
1,1,1,TRUE,34,13579256
1,1,2,TRUE,33,15347035
1,1,2,FALSE,33,17956572
1,1,1,TRUE,38,26236425
1,1,1,TRUE,34,32113128
1,1,2,FALSE,34,22232378
3.5,1,1,TRUE,33,27031754
1,1,1,TRUE,34,24078882
2,2,3,TRUE,33,11621077
1,1,1,TRUE,33,20522853
1,2,2,TRUE,33,23258605
1,1,2,FALSE,34,19081835
1,1,1,TRUE,38,17205473
1,1,2,TRUE,36,30580307
1,1,1,TRUE,38,19822379
1,1,1,FALSE,40,10962031
1,1,1,TRUE,40,15679019
1,2,4,TRUE,41,27665848
1,1,2,TRUE,40,17449329
1,2,3,FALSE,37,10490348
